"ond_id","ond_tekst_filmtitel","org_naam_aanvrager","org_naam_fabriek","ond_tekst_lengte_meters","ond_tekst_smalfilm","ond_tekst_categorie","ond_datum_keuring","ond_tekst_weeklijstnummer","ond_tekst_oordeel","ond_tekst_coupures","ond_datum_herkeuring","ond_tekst_herkeuring_weeklijstnummer","ond_tekst_herkeuring_oordeel","ond_tekst_herkeuring_coupures","vwz_url_cinemacontext","vwz_archivelink","ond_UUID"
"1","Maatschappij Zeebad Scheveningen","George W. van Biene Theater Publiciteit NV","Mac Djorski","32 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026256","NL-HaNA/2.04.60/460///Dossier 00001/","268f07d0-7cc3-102d-a57f-005056a23d00"
"2","Buurman's Wraak","George W. van Biene Theater Publiciteit NV","Mac Djorski","66 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025188","NL-HaNA/2.04.60/460///Dossier 00002/","0acab4f6-7cc1-102d-a57f-005056a23d00"
"3","De Ster van het Oosten","George W. van Biene Theater Publiciteit NV","Mac Djorski","16 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF027010","NL-HaNA/2.04.60/460///Dossier 00003/","0acab604-7cc1-102d-a57f-005056a23d00"
"4","Meuwsen Hoeden","George W. van Biene Theater Publiciteit NV","Mac Djorski","28 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026333","NL-HaNA/2.04.60/460///Dossier 00004/","0acab6c2-7cc1-102d-a57f-005056a23d00"
"5","Een Automobielroman","George W. van Biene Theater Publiciteit NV","Mac Djorski","48 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025166","NL-HaNA/2.04.60/460///Dossier 00005/","0acab7c6-7cc1-102d-a57f-005056a23d00"
"6","Het geheim van de witte Schakel","George W. van Biene Theater Publiciteit NV","Mac Djorski","41 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025617","NL-HaNA/2.04.60/460///Dossier 00006/","0acab870-7cc1-102d-a57f-005056a23d00"
"7","De Kwelduivel","George W. van Biene Theater Publiciteit NV","Mac Djorski","59 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026142","NL-HaNA/2.04.60/460///Dossier 00007/","0acab910-7cc1-102d-a57f-005056a23d00"
"8","Een reisje naar de maan","George W. van Biene Theater Publiciteit NV","Mac Djorski","54 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026575","NL-HaNA/2.04.60/460///Dossier 00008/","0acab9b0-7cc1-102d-a57f-005056a23d00"
"9","De geheimzinnige kist","George W. van Biene Theater Publiciteit NV","Mac Djorski","50 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025622","NL-HaNA/2.04.60/460///Dossier 00009/","0acaba5a-7cc1-102d-a57f-005056a23d00"
"10","Een amoureuse vertelling","George W. van Biene Theater Publiciteit NV","Mac Djorski","64 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024925","NL-HaNA/2.04.60/460///Dossier 00010/","0acabb04-7cc1-102d-a57f-005056a23d00"
"11","Het geheim van de Kok","George W. van Biene Theater Publiciteit NV","Mac Djorski","46 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025615","NL-HaNA/2.04.60/460///Dossier 00011/","0acabbae-7cc1-102d-a57f-005056a23d00"
